Name;IoTreePath;IsIndependentProjectFile;FileName;FileExists;IsDisabled
Term 146 (EK1100);Device 3 (EtherCAT).Term 146 (EK1100);False;D:\github\TcOpenGroup\Examples-TopologyRenderer\TopologyRenderer\TopologyRenderer.tsproj;True;False
Term 147 (EK1122);Device 3 (EtherCAT).Term 146 (EK1100).Term 147 (EK1122);False;D:\github\TcOpenGroup\Examples-TopologyRenderer\TopologyRenderer\TopologyRenderer.tsproj;True;False
Term 153 (EK1100);Device 3 (EtherCAT).Term 146 (EK1100).Term 147 (EK1122).Term 153 (EK1100);False;D:\github\TcOpenGroup\Examples-TopologyRenderer\TopologyRenderer\TopologyRenderer.tsproj;True;False
Term 154 (EK1122);Device 3 (EtherCAT).Term 146 (EK1100).Term 147 (EK1122).Term 153 (EK1100).Term 154 (EK1122);False;D:\github\TcOpenGroup\Examples-TopologyRenderer\TopologyRenderer\TopologyRenderer.tsproj;True;False
Term 157 (EK1100);Device 3 (EtherCAT).Term 146 (EK1100).Term 147 (EK1122).Term 153 (EK1100).Term 154 (EK1122).Term 157 (EK1100);False;D:\github\TcOpenGroup\Examples-TopologyRenderer\TopologyRenderer\TopologyRenderer.tsproj;True;False
Term 159 (EL1809);Device 3 (EtherCAT).Term 146 (EK1100).Term 147 (EK1122).Term 153 (EK1100).Term 154 (EK1122).Term 157 (EK1100).Term 159 (EL1809);False;D:\github\TcOpenGroup\Examples-TopologyRenderer\TopologyRenderer\TopologyRenderer.tsproj;True;False
Term 158 (EK1100);Device 3 (EtherCAT).Term 146 (EK1100).Term 147 (EK1122).Term 153 (EK1100).Term 154 (EK1122).Term 158 (EK1100);False;D:\github\TcOpenGroup\Examples-TopologyRenderer\TopologyRenderer\TopologyRenderer.tsproj;True;False
Term 160 (EL1809);Device 3 (EtherCAT).Term 146 (EK1100).Term 147 (EK1122).Term 153 (EK1100).Term 154 (EK1122).Term 158 (EK1100).Term 160 (EL1809);False;D:\github\TcOpenGroup\Examples-TopologyRenderer\TopologyRenderer\TopologyRenderer.tsproj;True;False
Term 155 (EL2008);Device 3 (EtherCAT).Term 146 (EK1100).Term 147 (EK1122).Term 153 (EK1100).Term 155 (EL2008);False;D:\github\TcOpenGroup\Examples-TopologyRenderer\TopologyRenderer\TopologyRenderer.tsproj;True;False
Term 156 (EL2008);Device 3 (EtherCAT).Term 146 (EK1100).Term 147 (EK1122).Term 153 (EK1100).Term 156 (EL2008);False;D:\github\TcOpenGroup\Examples-TopologyRenderer\TopologyRenderer\TopologyRenderer.tsproj;True;False
